,name,rating,Sector,Ownership,high_rating_values,bad_rating_factor,Review,Salary_comments,Interview_Q,Jobs,Job_link,Photos,Employee_count,Age
0,TCS,3.8,IT Services & Consulting , Public ,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",76k,8.7L,https://www.ambitionbox.com/interviews/tcs-interview-questions,1.1k,https://www.ambitionbox.com/jobs/tcs-jobs,https://www.ambitionbox.com/photos/tcs-photos, 1 Lakh+ Employees , 56 years old 
1,Accenture,4.0,IT Services & Consulting , Public ,"Company Culture, Job Security, Skill Development / Learning",Promotions / Appraisal,47.6k,5.9L,https://www.ambitionbox.com/interviews/accenture-interview-questions,42.8k,https://www.ambitionbox.com/jobs/accenture-jobs,https://www.ambitionbox.com/photos/accenture-photos, 1 Lakh+ Employees , 35 years old 
2,Cognizant,3.9,IT Services & Consulting , Forbes Global 2000 ,Skill Development / Learning,Promotions / Appraisal,42.9k,5.7L,https://www.ambitionbox.com/interviews/cognizant-interview-questions,530,https://www.ambitionbox.com/jobs/cognizant-jobs,https://www.ambitionbox.com/photos/cognizant-photos, 1 Lakh+ Employees , 30 years old 
3,Wipro,3.8,IT Services & Consulting , Public ,Job Security,"Promotions / Appraisal, Salary & Benefits",40.8k,4.3L,https://www.ambitionbox.com/interviews/wipro-interview-questions,216,https://www.ambitionbox.com/jobs/wipro-jobs,https://www.ambitionbox.com/photos/wipro-photos, 1 Lakh+ Employees , 79 years old 
4,Capgemini,3.8,IT Services & Consulting , Public ,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",35.2k,4.3L,https://www.ambitionbox.com/interviews/capgemini-interview-questions,583,https://www.ambitionbox.com/jobs/capgemini-jobs,https://www.ambitionbox.com/photos/capgemini-photos, 1 Lakh+ Employees , 57 years old 
5,HDFC Bank,4.0,Banking , Public ,"Job Security, Skill Development / Learning",Promotions / Appraisal,34.3k,1.3L,https://www.ambitionbox.com/interviews/hdfc-bank-interview-questions,187,https://www.ambitionbox.com/jobs/hdfc-bank-jobs,https://www.ambitionbox.com/photos/hdfc-bank-photos, 1 Lakh+ Employees , 30 years old 
6,ICICI Bank,4.0,Banking , Public ,"Job Security, Skill Development / Learning, Company Culture",NA,34k,1.4L,https://www.ambitionbox.com/interviews/icici-bank-interview-questions,74,https://www.ambitionbox.com/jobs/icici-bank-jobs,https://www.ambitionbox.com/photos/icici-bank-photos, 1 Lakh+ Employees , 30 years old 
7,Infosys,3.8,IT Services & Consulting , Public ,"Job Security, Company Culture, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal",33k,4.6L,https://www.ambitionbox.com/interviews/infosys-interview-questions,946,https://www.ambitionbox.com/jobs/infosys-jobs,https://www.ambitionbox.com/photos/infosys-photos, 1 Lakh+ Employees , 43 years old 
8,HCLTech,3.7,IT Services & Consulting , Public ,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",29.7k,3L,https://www.ambitionbox.com/interviews/hcl-technologies-interview-questions,143,https://www.ambitionbox.com/jobs/hcl-technologies-jobs,https://www.ambitionbox.com/photos/hcl-technologies-photos, 1 Lakh+ Employees , 33 years old 
9,Tech Mahindra,3.7,IT Services & Consulting , Public ,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",NA,28.2k,2.6L,https://www.ambitionbox.com/interviews/tech-mahindra-interview-questions,279,https://www.ambitionbox.com/jobs/tech-mahindra-jobs,https://www.ambitionbox.com/photos/tech-mahindra-photos, 1 Lakh+ Employees , 38 years old 
10,Genpact,3.9,IT Services & Consulting , Public ,"Job Security, Skill Development / Learning, Work Life Balance","Salary & Benefits, Promotions / Appraisal",26.7k,1.9L,https://www.ambitionbox.com/interviews/genpact-interview-questions,442,https://www.ambitionbox.com/jobs/genpact-jobs,https://www.ambitionbox.com/photos/genpact-photos, 1 Lakh+ Employees , 27 years old 
11,Axis Bank,3.9,Banking , Public ,Job Security,Promotions / Appraisal,22.3k,96.8k,https://www.ambitionbox.com/interviews/axis-bank-interview-questions,181,https://www.ambitionbox.com/jobs/axis-bank-jobs,https://www.ambitionbox.com/photos/axis-bank-photos, 50k-1 Lakh Employees , 31 years old 
12,Teleperformance,3.8,BPO , Forbes Global 2000 ,Promotions / Appraisal,NA,23k,85.9k,https://www.ambitionbox.com/interviews/teleperformance-interview-questions,301,https://www.ambitionbox.com/jobs/teleperformance-jobs,https://www.ambitionbox.com/photos/teleperformance-photos, 50k-1 Lakh Employees , 46 years old 
13,Concentrix Corporation,3.9,BPO , Public ,"Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits",21.7k,1.1L,https://www.ambitionbox.com/interviews/concentrix-corporation-interview-questions,70,https://www.ambitionbox.com/jobs/concentrix-corporation-jobs,https://www.ambitionbox.com/photos/concentrix-corporation-photos, 50k-1 Lakh Employees , 41 years old 
14,Jio,4.0,Telecom , Public ,"Job Security, Skill Development / Learning",Promotions / Appraisal,20.3k,66.4k,https://www.ambitionbox.com/interviews/jio-interview-questions,159,https://www.ambitionbox.com/jobs/jio-jobs,https://www.ambitionbox.com/photos/jio-photos, 50k-1 Lakh Employees , 6 years old 
15,Amazon,4.1,Internet , Public ,"Company Culture, Salary & Benefits, Work Life Balance",NA,21.4k,1.2L,https://www.ambitionbox.com/interviews/amazon-interview-questions,122,https://www.ambitionbox.com/jobs/amazon-jobs,https://www.ambitionbox.com/photos/amazon-photos, 1 Lakh+ Employees , 30 years old 
16,IBM,4.1,IT Services & Consulting , Public ,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal,19.8k,2.2L,https://www.ambitionbox.com/interviews/ibm-interview-questions,2.3k,https://www.ambitionbox.com/jobs/ibm-jobs,https://www.ambitionbox.com/photos/ibm-photos, 1 Lakh+ Employees , 113 years old 
17,Reliance Retail,4.0,Retail , 18 years old ,"Skill Development / Learning, Job Security",Promotions / Appraisal,19.4k,61.8k,https://www.ambitionbox.com/interviews/reliance-retail-interview-questions,156,https://www.ambitionbox.com/jobs/reliance-retail-jobs,https://www.ambitionbox.com/photos/reliance-retail-photos, 1 Lakh+ Employees , 18 years old 
18,HDB Financial Services,4.0,NBFC , 17 years old ,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal,18.1k,49.5k,https://www.ambitionbox.com/interviews/hdb-financial-services-interview-questions,137,https://www.ambitionbox.com/jobs/hdb-financial-services-jobs,https://www.ambitionbox.com/photos/hdb-financial-services-photos, 1 Lakh+ Employees , 17 years old 
19,Larsen & Toubro Limited,4.1,Engineering & Construction , Public ,"Job Security, Skill Development / Learning",NA,16.4k,77.9k,https://www.ambitionbox.com/interviews/larsen-and-toubro-limited-interview-questions,101,https://www.ambitionbox.com/jobs/larsen-and-toubro-limited-jobs,https://www.ambitionbox.com/photos/larsen-and-toubro-limited-photos, 10k-50k Employees , 86 years old 
20,Vodafone Idea,4.2,Telecom , Public ,"Company Culture, Work Life Balance, Salary & Benefits",NA,14.1k,56.7k,https://www.ambitionbox.com/interviews/vodafone-idea-interview-questions,19,https://www.ambitionbox.com/jobs/vodafone-idea-jobs,https://www.ambitionbox.com/photos/vodafone-idea-photos, 5k-10k Employees , 6 years old 
21,BYJU'S,3.1,EdTech , Indian Unicorn ,"Job Security, Work Life Balance, Company Culture",NA,15.3k,60.1k,https://www.ambitionbox.com/interviews/byjus-interview-questions,8,https://www.ambitionbox.com/jobs/byjus-jobs,https://www.ambitionbox.com/photos/byjus-photos, 10k-50k Employees , 13 years old 
22,Kotak Mahindra Bank,3.8,Banking , Public ,Job Security,Promotions / Appraisal,14.2k,78.2k,https://www.ambitionbox.com/interviews/kotak-mahindra-bank-interview-questions,11,https://www.ambitionbox.com/jobs/kotak-mahindra-bank-jobs,https://www.ambitionbox.com/photos/kotak-mahindra-bank-photos, 50k-1 Lakh Employees , 21 years old 
23,Deloitte,3.9,Management Consulting , 179 years old ,"Job Security, Skill Development / Learning, Salary & Benefits",NA,14.5k,1.8L,https://www.ambitionbox.com/interviews/deloitte-interview-questions,446,https://www.ambitionbox.com/jobs/deloitte-jobs,https://www.ambitionbox.com/photos/deloitte-photos, 1 Lakh+ Employees , 179 years old 
